train_dataset_size,backbone,case,accuracy
2400,resnet50,1,0.9608976538592316
2400,resnet18,2,0.953417205032302
2400,resnet34,2,0.930635838150289
2400,resnet50,2,0.9619177150629038
2400,resnet18,3,0.9381162869772186
2400,resnet34,3,0.9149948996939816
2400,resnet50,3,0.9377762665759946
2400,resnet18,4_1,0.9670180210812648
2400,resnet34,4_1,0.9469568174090446
2400,resnet50,4_1,0.925875552533152
2400,resnet18,4_2,0.9126147568854132
2400,resnet34,4_2,0.9343760625637538
2400,resnet50,4_2,0.9200952057123428
3200,resnet18,1,0.9551173070384223
3200,resnet34,1,0.9666780006800408
3200,resnet50,1,0.9697381842910576
3200,resnet18,2,0.9670180210812648
3200,resnet34,2,0.9639578374702482
3200,resnet50,2,0.9666780006800408
3200,resnet18,3,0.9527371642298538
3200,resnet34,3,0.9619177150629038
3200,resnet50,3,0.9574974498469908
3200,resnet18,4_1,0.9605576334580076
3200,resnet34,4_1,0.9595375722543352
3200,resnet50,4_1,0.9506970418225094
3200,resnet18,4_2,0.943896633798028
3200,resnet34,4_2,0.9391363481808908
3200,resnet50,4_2,0.949336960217613
4000,resnet18,1,0.9744984699081944
4000,resnet34,1,0.976878612716763
4000,resnet50,1,0.976878612716763
4000,resnet18,2,0.9612376742604556
4000,resnet34,2,0.9687181230873853
4000,resnet50,2,0.9568174090445428
4000,resnet18,3,0.9663379802788168
4000,resnet34,3,0.971438286297178
4000,resnet50,3,0.9646378782726964
4000,resnet18,4_1,0.9551173070384223
4000,resnet34,4_1,0.976878612716763
4000,resnet50,4_1,0.9659979598775926
4000,resnet18,4_2,0.9513770826249576
4000,resnet34,4_2,0.9690581434886092
4000,resnet50,4_2,0.949336960217613
4800,resnet18,1,0.9636178170690242
4800,resnet34,1,0.9748384903094186
4800,resnet50,1,0.9653179190751444
4800,resnet18,2,0.967698061883713
4800,resnet34,2,0.9707582454947296
4800,resnet50,2,0.9806188371302278
4800,resnet18,3,0.9598775926555594
4800,resnet34,3,0.9758585515130908
4800,resnet50,3,0.9755185311118668
4800,resnet18,4_1,0.976538592315539
4800,resnet34,4_1,0.976878612716763
4800,resnet50,4_1,0.9761985719143148
4800,resnet18,4_2,0.9554573274396464
4800,resnet34,4_2,0.9639578374702482
4800,resnet50,4_2,0.9734784087045224
6000,resnet18,1,0.9670180210812648
6000,resnet34,1,0.9792587555253316
6000,resnet50,1,0.9850391023461408
6000,resnet18,2,0.9758585515130908
6000,resnet34,2,0.9789187351241074
6000,resnet50,2,0.9772186331179872
6000,resnet18,3,0.9741584495069704
6000,resnet34,3,0.976878612716763
6000,resnet50,3,0.9710982658959536
6000,resnet18,4_1,0.9738184291057465
6000,resnet34,4_1,0.9741584495069704
6000,resnet50,4_1,0.9778986739204352
6000,resnet18,4_2,0.9578374702482148
6000,resnet34,4_2,0.9734784087045224
6000,resnet50,4_2,0.9687181230873853
8000,resnet18,1,0.9860591635498128
8000,resnet34,1,0.990139408364502
8000,resnet50,1,0.9823189391363482
8000,resnet18,2,0.9782386943216592
8000,resnet34,2,0.9833390003400204
8000,resnet50,2,0.9809588575314518
8000,resnet18,3,0.9809588575314518
8000,resnet34,3,0.9863991839510372
8000,resnet50,3,0.981978918735124
8000,resnet18,4_1,0.9799387963277796
8000,resnet34,4_1,0.9829989799387964
8000,resnet50,4_1,0.9683781026861612
8000,resnet18,4_2,0.9761985719143148
