learning_rate,backbone,case,accuracy
0.004,resnet18,4_2,0.4267256035362122
0.004,resnet34,4_2,0.3257395443726623
0.004,resnet50,4_2,0.3257395443726623
0.0045,resnet18,1,0.3257395443726623
0.0045,resnet34,1,0.3257395443726623
0.0045,resnet50,1,0.3430805848350901
0.0045,resnet18,2,0.5872152329139748
0.0045,resnet34,2,0.3311798707922475
0.0045,resnet50,2,0.319619177150629
0.0045,resnet18,3,0.3257395443726623
0.0045,resnet34,3,0.3257395443726623
0.0045,resnet50,3,0.3257395443726623
0.0045,resnet18,4_1,0.3257395443726623
0.0045,resnet34,4_1,0.3257395443726623
0.0045,resnet50,4_1,0.3257395443726623
0.0045,resnet18,4_2,0.3662019721183271
0.0045,resnet34,4_2,0.3257395443726623
0.0045,resnet50,4_2,0.3257395443726623
0.005,resnet18,1,0.3430805848350901
0.005,resnet34,1,0.5763345800748045
0.005,resnet50,1,0.3257395443726623
0.005,resnet18,2,0.3311798707922475
0.005,resnet34,2,0.3430805848350901
0.005,resnet50,2,0.5351921115266915
0.005,resnet18,3,0.3257395443726623
0.005,resnet34,3,0.4461067664059843
0.005,resnet50,3,0.3257395443726623
0.005,resnet18,4_1,0.3257395443726623
0.005,resnet34,4_1,0.3257395443726623
0.005,resnet50,4_1,0.3257395443726623
0.005,resnet18,4_2,0.3260795647738864
0.005,resnet34,4_2,0.3257395443726623
0.005,resnet50,4_2,0.3257395443726623
